,panel_year,household_income,projection_factor
0,2007,3,3086
1,2007,4,3451
2,2007,6,7203
3,2007,8,9264
4,2007,10,7331
5,2007,11,14786
6,2007,13,25442
7,2007,15,15364
8,2007,16,20641
9,2007,17,29677
10,2007,18,23904
11,2007,19,15796
12,2007,21,45059
13,2007,23,42869
14,2007,26,94603
15,2007,27,101807
16,2007,28,18051
17,2007,29,14827
18,2007,30,8176
19,2008,3,7349
20,2008,4,4796
21,2008,6,6209
22,2008,8,4022
23,2008,10,5374
24,2008,11,8844
25,2008,13,34134
26,2008,15,19212
27,2008,16,17606
28,2008,17,21860
29,2008,18,28271
30,2008,19,11758
31,2008,21,45886
32,2008,23,35855
33,2008,26,87964
34,2008,27,96406
35,2008,28,14474
36,2008,29,16103
37,2008,30,11207
38,2009,3,7213
39,2009,4,9177
40,2009,6,15816
41,2009,8,2018
42,2009,10,4607
43,2009,11,19981
44,2009,13,21437
45,2009,15,15783
46,2009,16,15518
47,2009,17,19312
48,2009,18,20179
49,2009,19,20459
50,2009,21,51211
51,2009,23,23178
52,2009,26,87850
53,2009,27,95592
54,2009,28,17145
55,2009,29,20187
56,2009,30,16371
57,2010,3,7914
58,2010,4,5058
59,2010,6,5057
60,2010,8,10477
61,2010,10,6601
62,2010,11,16501
63,2010,13,27911
64,2010,15,12925
65,2010,16,20140
66,2010,17,31863
67,2010,18,12237
68,2010,19,17871
69,2010,21,53961
70,2010,23,27598
71,2010,26,102699
72,2010,27,158363
73,2011,3,6123
74,2011,4,5803
75,2011,6,1486
76,2011,8,4662
77,2011,10,8381
78,2011,11,23674
79,2011,13,32209
80,2011,15,2015
81,2011,16,24564
82,2011,17,32647
83,2011,18,19397
84,2011,19,8239
85,2011,21,41716
86,2011,23,26178
87,2011,26,91950
88,2011,27,167717
89,2012,3,7757
90,2012,4,2014
91,2012,6,9804
92,2012,8,3261
93,2012,10,12064
94,2012,11,22031
95,2012,13,22452
96,2012,15,17006
97,2012,16,28469
98,2012,17,28870
99,2012,18,18515
100,2012,19,19581
101,2012,21,26459
102,2012,23,38958
103,2012,26,97106
104,2012,27,144486
105,2013,3,7088
106,2013,4,7762
107,2013,6,4426
108,2013,8,8873
109,2013,10,12472
110,2013,11,21287
111,2013,13,30001
112,2013,15,11651
113,2013,16,31125
114,2013,17,23973
115,2013,18,15337
116,2013,19,15934
117,2013,21,32978
118,2013,23,26666
119,2013,26,89884
120,2013,27,156732