,panel_year,household_income,number_of_hh
0,2007,3,20
1,2007,4,22
2,2007,6,48
3,2007,8,60
4,2007,10,48
5,2007,11,98
6,2007,13,168
7,2007,15,102
8,2007,16,136
9,2007,17,196
10,2007,18,158
11,2007,19,104
12,2007,21,300
13,2007,23,284
14,2007,26,630
15,2007,27,678
16,2007,28,120
17,2007,29,98
18,2007,30,54
19,2008,3,48
20,2008,4,30
21,2008,6,40
22,2008,8,26
23,2008,10,34
24,2008,11,58
25,2008,13,226
26,2008,15,128
27,2008,16,116
28,2008,17,144
29,2008,18,188
30,2008,19,78
31,2008,21,304
32,2008,23,238
33,2008,26,586
34,2008,27,642
35,2008,28,96
36,2008,29,106
37,2008,30,74
38,2009,3,48
39,2009,4,60
40,2009,6,104
41,2009,8,12
42,2009,10,30
43,2009,11,132
44,2009,13,142
45,2009,15,104
46,2009,16,102
47,2009,17,128
48,2009,18,134
49,2009,19,136
50,2009,21,340
51,2009,23,154
52,2009,26,584
53,2009,27,636
54,2009,28,114
55,2009,29,134
56,2009,30,108
57,2010,3,52
58,2010,4,32
59,2010,6,32
60,2010,8,68
61,2010,10,44
62,2010,11,110
63,2010,13,186
64,2010,15,86
65,2010,16,134
66,2010,17,212
67,2010,18,80
68,2010,19,118
69,2010,21,358
70,2010,23,182
71,2010,26,684
72,2010,27,1054
73,2011,3,40
74,2011,4,38
75,2011,6,8
76,2011,8,30
77,2011,10,54
78,2011,11,156
79,2011,13,214
80,2011,15,12
81,2011,16,162
82,2011,17,216
83,2011,18,128
84,2011,19,54
85,2011,21,278
86,2011,23,174
87,2011,26,612
88,2011,27,1118
89,2012,3,50
90,2012,4,12
91,2012,6,64
92,2012,8,20
93,2012,10,80
94,2012,11,146
95,2012,13,148
96,2012,15,112
97,2012,16,188
98,2012,17,192
99,2012,18,122
100,2012,19,130
101,2012,21,176
102,2012,23,258
103,2012,26,646
104,2012,27,962
105,2013,3,46
106,2013,4,50
107,2013,6,28
108,2013,8,58
109,2013,10,82
110,2013,11,140
111,2013,13,200
112,2013,15,76
113,2013,16,206
114,2013,17,158
115,2013,18,102
116,2013,19,106
117,2013,21,218
118,2013,23,176
119,2013,26,598
120,2013,27,1044